fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,2,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,2,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,2,0.001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,2,0.001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,2,0.001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,2,0.001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.75,0.782608695652174,1.0,0.5454545454545454,0.7385489458759964,2,0.001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.44,0.5,0.5833333333333334,0.3076923076923077,0.42365927286816174,2,0.001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,2,0.001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.2,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.16116459280507606,2,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.65,0.6557272395124057,0.74,0.5727272727272726,0.6439614007188631,2,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.4800000000000001,0.4933140933140933,0.5681818181818182,0.39560439560439564,0.46334037297210884,2,0.001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,4,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas
