fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,2,1e-05,resize_smaller_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,2,1e-05,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,2,1e-05,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,2,1e-05,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,2,1e-05,resize_smaller_hu_m300_1400_separadas
3,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,2,1e-05,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.55,0.3076923076923077,0.2222222222222222,0.8181818181818182,0.4264014327112209,2,1e-05,resize_smaller_hu_m300_1400_separadas
4,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,2,1e-05,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,2,1e-05,resize_smaller_hu_m300_1400_separadas
5,TEST,0.76,0.75,0.8181818181818182,0.7142857142857143,0.7644707871564383,2,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.56,0.5596112296656761,0.6755555555555556,0.4672727272727272,0.4386985257460297,2,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.5439999999999999,0.5730006744712627,0.7303030303030303,0.37362637362637363,0.3838229341698772,2,1e-05,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,2,0.0001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,2,0.0001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,2,0.0001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.44,0.3,0.25,0.6153846153846154,0.3922322702763681,2,0.0001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,2,0.0001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,2,0.0001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.55,0.5263157894736842,0.5555555555555556,0.5454545454545454,0.5504818825631803,2,0.0001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,2,0.0001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.7,0.75,0.9,0.5,0.6708203932499369,2,0.0001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.6,0.6428571428571429,0.8181818181818182,0.42857142857142855,0.592156525463792,2,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.6,0.5698142414860681,0.6022222222222222,0.5909090909090909,0.5872546540097335,2,0.0001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.536,0.5268571428571429,0.5803030303030303,0.501098901098901,0.5223311111835207,2,0.0001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,2,0.001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,2,0.001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,2,0.001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,2,0.001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,2,0.001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,2,0.001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,2,0.001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.6,0.2857142857142857,0.16666666666666666,1.0,0.408248290463863,2,0.001,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.6,0.6,0.6,0.6,0.6,2,0.001,resize_smaller_hu_m300_1400_separadas
5,TEST,0.48,0.3157894736842105,0.2727272727272727,0.6428571428571429,0.4187178946793119,2,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.65,0.6333333333333333,0.6755555555555556,0.6290909090909091,0.6453854264513577,2,0.001,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.552,0.4656742189922968,0.4712121212121213,0.6208791208791209,0.4933358840206946,2,0.001,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
