fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
1,VALIDATION,0.5217391304347826,0.26666666666666666,0.18181818181818182,0.8333333333333334,0.3892494720807615,2,1e-05,resize_mini_hu_m300_1400_separadas
1,TEST,0.46153846153846156,0.0,0.0,0.8571428571428571,0.0,2,1e-05,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.6086956521739131,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.6030226891555273,2,1e-05,resize_mini_hu_m300_1400_separadas
2,TEST,0.6153846153846154,0.5454545454545454,0.5,0.7142857142857143,0.5976143046671968,2,1e-05,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.5217391304347826,0.56,0.6363636363636364,0.4166666666666667,0.5149286505444373,2,1e-05,resize_mini_hu_m300_1400_separadas
3,TEST,0.46153846153846156,0.5333333333333333,0.6666666666666666,0.2857142857142857,0.4364357804719847,2,1e-05,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.6956521739130435,0.7407407407407407,0.9090909090909091,0.5,0.674199862463242,2,1e-05,resize_mini_hu_m300_1400_separadas
4,TEST,0.46153846153846156,0.631578947368421,1.0,0.0,0.0,2,1e-05,resize_mini_hu_m300_1400_separadas
5,VALIDATION,0.6521739130434783,0.7142857142857143,0.9090909090909091,0.4166666666666667,0.6154574548966637,2,1e-05,resize_mini_hu_m300_1400_separadas
5,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,2,1e-05,resize_mini_hu_m300_1400_separadas
6,VALIDATION,0.5217391304347826,0.0,0.0,1.0,0.0,2,1e-05,resize_mini_hu_m300_1400_separadas
6,TEST,0.5,0.0,0.0,1.0,0.0,2,1e-05,resize_mini_hu_m300_1400_separadas
7,VALIDATION,0.5217391304347826,0.35294117647058826,0.2727272727272727,0.75,0.45226701686664544,2,1e-05,resize_mini_hu_m300_1400_separadas
7,TEST,0.5,0.25,0.16666666666666666,0.8333333333333334,0.37267799624996495,2,1e-05,resize_mini_hu_m300_1400_separadas
8,VALIDATION,0.5217391304347826,0.5217391304347826,0.5454545454545454,0.5,0.5222329678670935,2,1e-05,resize_mini_hu_m300_1400_separadas
8,TEST,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5270462766947299,2,1e-05,resize_mini_hu_m300_1400_separadas
9,VALIDATION,0.43478260869565216,0.48,0.5454545454545454,0.3333333333333333,0.42640143271122083,2,1e-05,resize_mini_hu_m300_1400_separadas
9,TEST,0.6666666666666666,0.75,1.0,0.3333333333333333,0.5773502691896257,2,1e-05,resize_mini_hu_m300_1400_separadas
10,VALIDATION,0.4782608695652174,0.5384615384615384,0.6363636363636364,0.3333333333333333,0.4605661864718383,2,1e-05,resize_mini_hu_m300_1400_separadas
10,TEST,0.6666666666666666,0.7142857142857143,1.0,0.42857142857142855,0.6546536707079771,2,1e-05,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.5478260869565218,0.4746263538488602,0.5181818181818182,0.575,0.46583257330574296,2,1e-05,resize_mini_hu_m300_1400_separadas
MEAN,TEST,0.5532051282051282,0.4757985873775348,0.6,0.5214285714285715,0.37633926026486764,2,1e-05,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.6521739130434783,0.6923076923076923,0.8181818181818182,0.5,0.6396021490668313,2,0.0001,resize_mini_hu_m300_1400_separadas
1,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,2,0.0001,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.6086956521739131,0.4,0.2727272727272727,0.9166666666666666,0.49999999999999994,2,0.0001,resize_mini_hu_m300_1400_separadas
2,TEST,0.5384615384615384,0.25,0.16666666666666666,0.8571428571428571,0.3779644730092272,2,0.0001,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.6086956521739131,0.4,0.2727272727272727,0.9166666666666666,0.49999999999999994,2,0.0001,resize_mini_hu_m300_1400_separadas
3,TEST,0.46153846153846156,0.36363636363636365,0.3333333333333333,0.5714285714285714,0.4364357804719847,2,0.0001,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.5217391304347826,0.6451612903225806,0.9090909090909091,0.16666666666666666,0.38924947208076144,2,0.0001,resize_mini_hu_m300_1400_separadas
4,TEST,0.6923076923076923,0.75,1.0,0.42857142857142855,0.6546536707079771,2,0.0001,resize_mini_hu_m300_1400_separadas
