fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
1,VALIDATION,0.5217391304347826,0.6666666666666666,1.0,0.08333333333333333,0.28867513459481287,2,1e-05,resize_smaller_hu_m300_1400_separadas
1,TEST,0.5384615384615384,0.6666666666666666,1.0,0.14285714285714285,0.3779644730092272,2,1e-05,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.5217391304347826,0.26666666666666666,0.18181818181818182,0.8333333333333334,0.3892494720807615,2,1e-05,resize_smaller_hu_m300_1400_separadas
2,TEST,0.5384615384615384,0.25,0.16666666666666666,0.8571428571428571,0.3779644730092272,2,1e-05,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.5217391304347826,0.47619047619047616,0.45454545454545453,0.5833333333333334,0.5149286505444373,2,1e-05,resize_smaller_hu_m300_1400_separadas
3,TEST,0.46153846153846156,0.46153846153846156,0.5,0.42857142857142855,0.4629100498862757,2,1e-05,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.43478260869565216,0.3157894736842105,0.2727272727272727,0.5833333333333334,0.3988620176087328,2,1e-05,resize_smaller_hu_m300_1400_separadas
4,TEST,0.38461538461538464,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3779644730092272,2,1e-05,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,2,1e-05,resize_smaller_hu_m300_1400_separadas
5,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,2,1e-05,resize_smaller_hu_m300_1400_separadas
6,VALIDATION,0.6086956521739131,0.7096774193548387,1.0,0.25,0.5,2,1e-05,resize_smaller_hu_m300_1400_separadas
6,TEST,0.5,0.6666666666666666,1.0,0.0,0.0,2,1e-05,resize_smaller_hu_m300_1400_separadas
