fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,TEST,0.44,0.5625,0.75,0.15384615384615385,0.3396831102433787,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,TEST,0.72,0.6666666666666666,0.5833333333333334,0.8461538461538461,0.7025594235292439,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,TEST,0.48,0.38095238095238093,0.3333333333333333,0.6153846153846154,0.4529108136578383,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,TEST,0.4,0.2857142857142857,0.25,0.5384615384615384,0.3668996928526714,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,VALIDATION,0.65,0.5882352941176471,0.5,0.8,0.6324555320336759,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,TEST,0.52,0.4,0.36363636363636365,0.6428571428571429,0.4834937784152282,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.73,0.699733893557423,0.7,0.76,0.7206316526902488,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,TEST,0.512,0.4591666666666666,0.45606060606060606,0.5593406593406594,0.46910936373967205,4,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.6,0.42857142857142855,0.3333333333333333,0.8181818181818182,0.5222329678670935,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,TEST,0.48,0.3157894736842105,0.25,0.6923076923076923,0.41602514716892186,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.5,0.6428571428571429,1.0,0.09090909090909091,0.30151134457776363,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,TEST,0.52,0.6666666666666666,1.0,0.07692307692307693,0.2773500981126146,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.45,0.56,0.7777777777777778,0.18181818181818182,0.37605071654517747,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,VALIDATION,0.5,0.5,0.5,0.5,0.5,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,TEST,0.6,0.5833333333333334,0.6363636363636364,0.5714285714285714,0.6030226891555273,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.5,0.550423645320197,0.7222222222222221,0.31818181818181823,0.3399590057980069,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,TEST,0.504,0.565109846688794,0.7606060606060605,0.2681318681318681,0.25927958688741276,4,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,TEST,0.4,0.4827586206896552,0.5833333333333334,0.23076923076923078,0.36689969285267143,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,TEST,0.44,0.5625,0.75,0.15384615384615385,0.3396831102433787,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.5,0.6428571428571429,1.0,0.09090909090909091,0.30151134457776363,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,TEST,0.4,0.34782608695652173,0.3333333333333333,0.46153846153846156,0.3922322702763681,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.6599999999999999,0.6793011941618753,0.7844444444444445,0.5563636363636364,0.6178860013525975,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,TEST,0.4800000000000001,0.5451491995937514,0.7000000000000001,0.2879120879120879,0.42794144814782004,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.55,0.0,0.0,1.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
