fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.75,0.6666666666666666,0.5555555555555556,0.9090909090909091,0.7106690545187014,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,TEST,0.56,0.42105263157894735,0.3333333333333333,0.7692307692307693,0.5063696835418333,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,TEST,0.52,0.25,0.16666666666666666,0.8461538461538461,0.3755338080994054,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,VALIDATION,0.65,0.5333333333333333,0.4,0.9,0.6000000000000001,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,TEST,0.64,0.4,0.2727272727272727,0.9285714285714286,0.5032362797401965,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,VALIDATION,0.66,0.5924509803921568,0.5466666666666666,0.7618181818181817,0.6336047775478367,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,TEST,0.536,0.4265182186234818,0.4045454545454545,0.6472527472527473,0.4608106484900422,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,VALIDATION,0.6499999999999999,0.645,0.6955555555555554,0.610909090909091,0.6455759874226181,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,TEST,0.56,0.5843146997929606,0.6636363636363637,0.46923076923076923,0.47790303134752765,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
4,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
5,TEST,0.64,0.7096774193548387,1.0,0.35714285714285715,0.5976143046671968,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
MEAN,VALIDATION,0.65,0.6569498612842266,0.74,0.5727272727272728,0.6398450656915872,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
MEAN,TEST,0.544,0.5441357842809869,0.6666666666666666,0.4406593406593407,0.419744068665339,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
