fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,seed,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.56,0.42105263157894735,0.3333333333333333,0.7692307692307693,0.5063696835418333,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.7,0.5714285714285714,0.4,1.0,0.6324555320336759,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.72,0.5333333333333333,0.36363636363636365,1.0,0.6030226891555273,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6900000000000001,0.6622556390977443,0.6799999999999999,0.7090909090909091,0.6780816094347021,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.616,0.5622200929610383,0.556060606060606,0.6615384615384615,0.5742085703018496,4,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.72,0.7586206896551724,0.9166666666666666,0.5384615384615384,0.7025594235292439,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.68,0.6923076923076923,0.8181818181818182,0.5714285714285714,0.6837634587578277,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.6699999999999999,0.6845849802371541,0.7822222222222222,0.5727272727272726,0.6677683572749784,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.6320000000000001,0.6085088677380768,0.696969696969697,0.5758241758241758,0.6000085803110146,16,0.001,8,resize_mini_hu_m300_1400_separadas,0,0.3
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.5,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.49236596391733095,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
