batch_size,learning_rate,fold,accuracy,f1,tpr,tnr,gmean,preprocessed_dir
4,1e-05,1,0.6086956521739131,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.6092717958449424,resize_smaller_hu_m300_1400_separadas
4,1e-05,2,0.5652173913043478,0.5833333333333334,0.6363636363636364,0.5,0.5640760748177662,resize_smaller_hu_m300_1400_separadas
4,1e-05,3,0.6363636363636364,0.6923076923076923,0.8181818181818182,0.45454545454545453,0.6098367211363063,resize_smaller_hu_m300_1400_separadas
4,1e-05,4,0.45454545454545453,0.45454545454545453,0.5,0.4166666666666667,0.45643546458763845,resize_smaller_hu_m300_1400_separadas
4,1e-05,5,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
4,0.0001,1,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
4,0.0001,2,0.5217391304347826,0.6206896551724138,0.8181818181818182,0.25,0.45226701686664544,resize_smaller_hu_m300_1400_separadas
4,0.0001,3,0.5454545454545454,0.6875,1.0,0.09090909090909091,0.30151134457776363,resize_smaller_hu_m300_1400_separadas
4,0.0001,4,0.6363636363636364,0.7142857142857143,1.0,0.3333333333333333,0.5773502691896257,resize_smaller_hu_m300_1400_separadas
4,0.0001,5,0.7272727272727273,0.7,0.7,0.75,0.7245688373094719,resize_smaller_hu_m300_1400_separadas
4,0.001,1,0.7391304347826086,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.7282190812544191,resize_smaller_hu_m300_1400_separadas
4,0.001,2,0.782608695652174,0.7619047619047619,0.7272727272727273,0.8333333333333334,0.778498944161523,resize_smaller_hu_m300_1400_separadas
4,0.001,3,0.6818181818181818,0.72,0.8181818181818182,0.5454545454545454,0.668042657122685,resize_smaller_hu_m300_1400_separadas
4,0.001,4,0.6363636363636364,0.6363636363636364,0.7,0.5833333333333334,0.6390096504226938,resize_smaller_hu_m300_1400_separadas
4,0.001,5,0.7727272727272727,0.7058823529411765,0.6,0.9166666666666666,0.7416198487095662,resize_smaller_hu_m300_1400_separadas
8,1e-05,1,0.6521739130434783,0.6923076923076923,0.8181818181818182,0.5,0.6396021490668313,resize_smaller_hu_m300_1400_separadas
8,1e-05,2,0.5217391304347826,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
8,1e-05,3,0.5,0.6666666666666666,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
8,1e-05,4,0.5454545454545454,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
8,1e-05,5,0.6818181818181818,0.6666666666666666,0.7,0.6666666666666666,0.6831300510639732,resize_smaller_hu_m300_1400_separadas
8,0.0001,1,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
8,0.0001,2,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
8,0.0001,3,0.5,0.6666666666666666,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
8,0.0001,4,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
8,0.0001,5,0.5909090909090909,0.6086956521739131,0.7,0.5,0.5916079783099616,resize_smaller_hu_m300_1400_separadas
8,0.001,1,0.6086956521739131,0.7096774193548387,1.0,0.25,0.5,resize_smaller_hu_m300_1400_separadas
8,0.001,2,0.5652173913043478,0.6666666666666666,0.9090909090909091,0.25,0.4767312946227962,resize_smaller_hu_m300_1400_separadas
8,0.001,3,0.5454545454545454,0.6428571428571429,0.8181818181818182,0.2727272727272727,0.4723774929733302,resize_smaller_hu_m300_1400_separadas
8,0.001,4,0.6363636363636364,0.6363636363636364,0.7,0.5833333333333334,0.6390096504226938,resize_smaller_hu_m300_1400_separadas
8,0.001,5,0.5,0.5925925925925926,0.8,0.25,0.4472135954999579,resize_smaller_hu_m300_1400_separadas
16,1e-05,1,0.5217391304347826,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
16,1e-05,2,0.5217391304347826,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
16,1e-05,3,0.5,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
16,1e-05,4,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
16,1e-05,5,0.45454545454545453,0.625,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
16,0.0001,1,0.5217391304347826,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
16,0.0001,2,0.4782608695652174,0.6470588235294118,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
16,0.0001,3,0.5,0.6666666666666666,1.0,0.0,0.0,resize_smaller_hu_m300_1400_separadas
16,0.0001,4,0.5,0.0,0.0,0.9166666666666666,0.0,resize_smaller_hu_m300_1400_separadas
16,0.0001,5,0.5454545454545454,0.0,0.0,1.0,0.0,resize_smaller_hu_m300_1400_separadas
16,0.001,1,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,resize_smaller_hu_m300_1400_separadas
16,0.001,2,0.782608695652174,0.7368421052631579,0.6363636363636364,0.9166666666666666,0.7637626158259733,resize_smaller_hu_m300_1400_separadas
16,0.001,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,resize_smaller_hu_m300_1400_separadas
