fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.6956521739130435,0.7407407407407407,0.9090909090909091,0.5,0.674199862463242,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
1,TEST,0.6153846153846154,0.5454545454545454,0.5,0.7142857142857143,0.5976143046671968,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
2,VALIDATION,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
2,TEST,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
3,VALIDATION,0.7391304347826086,0.7272727272727273,0.7272727272727273,0.75,0.7385489458759964,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
3,TEST,0.6153846153846154,0.5454545454545454,0.5,0.7142857142857143,0.5976143046671968,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
4,VALIDATION,0.5217391304347826,0.56,0.6363636363636364,0.4166666666666667,0.5149286505444373,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
4,TEST,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.6172133998483676,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
5,VALIDATION,0.7391304347826086,0.75,0.8181818181818182,0.6666666666666666,0.7385489458759964,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
5,TEST,0.6923076923076923,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.6900655593423543,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
6,VALIDATION,0.6521739130434783,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
6,TEST,0.75,0.7272727272727273,0.6666666666666666,0.8333333333333334,0.7453559924999299,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
7,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
7,TEST,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
8,VALIDATION,0.6086956521739131,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
8,TEST,0.9166666666666666,0.9230769230769231,1.0,0.8333333333333334,0.9128709291752769,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
9,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
9,TEST,0.75,0.7272727272727273,0.6666666666666666,0.8333333333333334,0.7453559924999299,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
10,VALIDATION,0.6956521739130435,0.6666666666666666,0.6363636363636364,0.75,0.6908492797077574,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
10,TEST,0.8333333333333334,0.75,0.6,1.0,0.7745966692414834,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
MEAN,VALIDATION,0.6608695652173913,0.6625805675805676,0.7000000000000001,0.625,0.65566482370441,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
MEAN,TEST,0.6820512820512821,0.6525979575979576,0.6433333333333333,0.7095238095238094,0.6548542969099918,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.3
1,VALIDATION,0.6956521739130435,0.7407407407407407,0.9090909090909091,0.5,0.674199862463242,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
1,TEST,0.6153846153846154,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5976143046671968,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
2,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
2,TEST,0.6153846153846154,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
3,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
3,TEST,0.46153846153846156,0.36363636363636365,0.3333333333333333,0.5714285714285714,0.4364357804719847,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
4,VALIDATION,0.5652173913043478,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.5640760748177662,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
4,TEST,0.5384615384615384,0.4,0.3333333333333333,0.7142857142857143,0.4879500364742666,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
5,VALIDATION,0.782608695652174,0.782608695652174,0.8181818181818182,0.75,0.7833494518006403,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
5,TEST,0.6923076923076923,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.6900655593423543,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
6,VALIDATION,0.6521739130434783,0.7142857142857143,0.9090909090909091,0.4166666666666667,0.6154574548966637,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
6,TEST,0.4166666666666667,0.5882352941176471,0.8333333333333334,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
7,VALIDATION,0.6086956521739131,0.64,0.7272727272727273,0.5,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
7,TEST,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5,0.5773502691896257,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
8,VALIDATION,0.6086956521739131,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
8,TEST,0.8333333333333334,0.8571428571428571,1.0,0.6666666666666666,0.816496580927726,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
9,VALIDATION,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
9,TEST,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
10,VALIDATION,0.6956521739130435,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6963106238227914,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
10,TEST,1.0,1.0,1.0,1.0,1.0,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
MEAN,VALIDATION,0.6652173913043479,0.6717838425664512,0.7272727272727273,0.6083333333333334,0.658339904103667,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
MEAN,TEST,0.658974358974359,0.6483129289011642,0.7,0.6142857142857142,0.5973768348231336,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.5
1,VALIDATION,0.782608695652174,0.8,0.9090909090909091,0.6666666666666666,0.7784989441615229,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
1,TEST,0.5384615384615384,0.5,0.5,0.5714285714285714,0.5345224838248488,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.3
