fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
4,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
5,VALIDATION,0.65,0.5882352941176471,0.5,0.8,0.6324555320336759,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
5,TEST,0.64,0.64,0.7272727272727273,0.5714285714285714,0.6446583712203042,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,VALIDATION,0.68,0.6643137254901961,0.7,0.6690909090909092,0.6774316088996588,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,TEST,0.544,0.5912275132275133,0.6954545454545455,0.4065934065934066,0.461163386573161,8,0.001,resize_small_hu_m600_1500_separadas,0,0.2
1,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
1,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
2,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
2,TEST,0.6,0.7058823529411765,1.0,0.23076923076923078,0.4803844614152614,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
4,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
4,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
5,TEST,0.64,0.6896551724137931,0.9090909090909091,0.42857142857142855,0.6241877839323592,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,VALIDATION,0.6900000000000001,0.7087058823529411,0.8044444444444444,0.5945454545454545,0.6788099923069894,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,TEST,0.6,0.6458021007978477,0.7984848484848486,0.42417582417582417,0.5575277479437115,8,0.001,resize_small_hu_m600_1500_separadas,0,0.4
1,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
1,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
2,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
2,TEST,0.44,0.5,0.5833333333333334,0.3076923076923077,0.42365927286816174,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
3,VALIDATION,0.6,0.6923076923076923,1.0,0.2727272727272727,0.5222329678670935,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
4,VALIDATION,0.55,0.6666666666666666,1.0,0.18181818181818182,0.4264014327112209,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,VALIDATION,0.5900000000000001,0.6717948717948717,0.9155555555555555,0.3163636363636364,0.5184120411035406,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
MEAN,TEST,0.52,0.6256737525001281,0.8666666666666668,0.210989010989011,0.36801704966684984,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.2
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
2,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
2,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
5,TEST,0.68,0.6923076923076923,0.8181818181818182,0.5714285714285714,0.6837634587578277,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,VALIDATION,0.53,0.6512016718913272,0.9377777777777778,0.19272727272727272,0.2522711133285024,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
MEAN,TEST,0.52,0.648862848862849,0.9303030303030303,0.14505494505494504,0.2083641791555088,8,0.0001,resize_small_hu_m600_1500_separadas,0,0.4
1,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
1,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
2,TEST,0.48,0.6060606060606061,0.8333333333333334,0.15384615384615385,0.3580574370197165,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
4,TEST,0.44,0.5882352941176471,0.8333333333333334,0.07692307692307693,0.25318484177091666,4,0.001,resize_small_hu_m600_1500_separadas,0,0.2
