fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,TEST,0.52,0.6666666666666666,1.0,0.07692307692307693,0.2773500981126146,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,TEST,0.6,0.6428571428571429,0.8181818181818182,0.42857142857142855,0.592156525463792,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,VALIDATION,0.6900000000000001,0.7110086597568089,0.8266666666666665,0.5727272727272728,0.673168203415646,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,TEST,0.544,0.5805383022774326,0.696969696969697,0.4087912087912088,0.489890205001248,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.7,0.75,1.0,0.45454545454545453,0.674199862463242,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.64,0.7272727272727273,1.0,0.3076923076923077,0.5547001962252291,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3
