fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
2,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
2,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
3,VALIDATION,0.65,0.5333333333333333,0.4444444444444444,0.8181818181818182,0.6030226891555273,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
3,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
4,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
4,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
5,VALIDATION,0.7,0.625,0.5,0.9,0.6708203932499369,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
5,TEST,0.68,0.5,0.36363636363636365,0.9285714285714286,0.5810872031479765,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
MEAN,VALIDATION,0.6900000000000001,0.6426470588235295,0.6333333333333332,0.7436363636363637,0.6729708016110983,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
MEAN,TEST,0.6000000000000001,0.5559961777353082,0.556060606060606,0.631868131868132,0.5676313522980713,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
1,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
1,TEST,0.48,0.5517241379310345,0.6666666666666666,0.3076923076923077,0.4529108136578383,16,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,9
