n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio
100,3,0.01,0.8,0.8,1.0,0.2168,0.26
100,3,0.01,0.8,0.8,1.25,0.181,0.26
100,3,0.01,0.8,0.8,1.5,0.3829,0.62
100,3,0.01,0.8,0.8,1.75,0.4411,0.79
100,3,0.01,0.8,0.8,2.0,0.462,0.88
100,3,0.01,0.8,0.8,2.25,0.4514,0.88
100,3,0.01,0.8,0.8,2.5,0.4403,0.88
100,3,0.01,0.8,0.8,2.75,0.4725,0.96
100,3,0.01,0.8,0.8,3.0,0.4725,0.96
100,3,0.01,0.8,0.8,3.25,0.462,0.96
100,3,0.01,0.8,0.8,3.5,0.462,0.96
100,3,0.01,0.8,0.8,3.75,0.462,0.96
100,3,0.01,0.8,0.8,4.0,0.462,0.96
100,3,0.01,0.8,0.8,4.25,0.462,0.96
100,3,0.01,0.8,0.8,4.5,0.462,0.96
100,3,0.01,0.8,0.8,4.75,0.462,0.96
100,3,0.01,0.8,0.8,5.0,0.462,0.96
100,3,0.01,0.8,0.8,5.25,0.462,0.96
100,3,0.01,0.8,0.8,5.5,0.462,0.96
100,3,0.01,0.8,0.8,5.75,0.462,0.96
100,3,0.01,0.8,0.8,6.0,0.462,0.96
200,3,0.01,0.8,0.8,1.0,0.1911,0.22
200,3,0.01,0.8,0.8,1.25,0.1917,0.26
200,3,0.01,0.8,0.8,1.5,0.2143,0.3
200,3,0.01,0.8,0.8,1.75,0.2698,0.39
200,3,0.01,0.8,0.8,2.0,0.3333,0.51
200,3,0.01,0.8,0.8,2.25,0.3922,0.65
200,3,0.01,0.8,0.8,2.5,0.401,0.69
200,3,0.01,0.8,0.8,2.75,0.4393,0.79
200,3,0.01,0.8,0.8,3.0,0.455,0.84
200,3,0.01,0.8,0.8,3.25,0.455,0.84
200,3,0.01,0.8,0.8,3.5,0.4452,0.84
200,3,0.01,0.8,0.8,3.75,0.44,0.84
200,3,0.01,0.8,0.8,4.0,0.4333,0.84
200,3,0.01,0.8,0.8,4.25,0.4275,0.84
200,3,0.01,0.8,0.8,4.5,0.4275,0.84
200,3,0.01,0.8,0.8,4.75,0.4438,0.88
200,3,0.01,0.8,0.8,5.0,0.4497,0.88
200,3,0.01,0.8,0.8,5.25,0.4497,0.88
200,3,0.01,0.8,0.8,5.5,0.4497,0.88
200,3,0.01,0.8,0.8,5.75,0.4497,0.88
200,3,0.01,0.8,0.8,6.0,0.4497,0.88
100,5,0.01,0.8,0.8,1.0,0.1911,0.22
100,5,0.01,0.8,0.8,1.25,0.1911,0.26
100,5,0.01,0.8,0.8,1.5,0.2429,0.35
100,5,0.01,0.8,0.8,1.75,0.3757,0.62
100,5,0.01,0.8,0.8,2.0,0.4378,0.8
100,5,0.01,0.8,0.8,2.25,0.4445,0.84
100,5,0.01,0.8,0.8,2.5,0.4378,0.84
100,5,0.01,0.8,0.8,2.75,0.445,0.88
100,5,0.01,0.8,0.8,3.0,0.4719,0.96
100,5,0.01,0.8,0.8,3.25,0.4719,0.96
100,5,0.01,0.8,0.8,3.5,0.4673,0.96
100,5,0.01,0.8,0.8,3.75,0.4673,0.96
100,5,0.01,0.8,0.8,4.0,0.4673,0.96
100,5,0.01,0.8,0.8,4.25,0.462,0.96
100,5,0.01,0.8,0.8,4.5,0.462,0.96
100,5,0.01,0.8,0.8,4.75,0.462,0.96
100,5,0.01,0.8,0.8,5.0,0.462,0.96
100,5,0.01,0.8,0.8,5.25,0.462,0.96
100,5,0.01,0.8,0.8,5.5,0.462,0.96
100,5,0.01,0.8,0.8,5.75,0.462,0.96
100,5,0.01,0.8,0.8,6.0,0.462,0.96
200,5,0.01,0.8,0.8,1.0,0.2056,0.22
200,5,0.01,0.8,0.8,1.25,0.2258,0.26
200,5,0.01,0.8,0.8,1.5,0.2368,0.3
200,5,0.01,0.8,0.8,1.75,0.2476,0.34
200,5,0.01,0.8,0.8,2.0,0.2356,0.34
200,5,0.01,0.8,0.8,2.25,0.3116,0.48
200,5,0.01,0.8,0.8,2.5,0.3627,0.57
200,5,0.01,0.8,0.8,2.75,0.3566,0.57
200,5,0.01,0.8,0.8,3.0,0.3823,0.62
200,5,0.01,0.8,0.8,3.25,0.3823,0.62
200,5,0.01,0.8,0.8,3.5,0.3762,0.62
200,5,0.01,0.8,0.8,3.75,0.3952,0.66
200,5,0.01,0.8,0.8,4.0,0.3842,0.66
