n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
100,3,0.01,0.8,0.8,1.0,0.0,0.0,0.6857
100,3,0.01,0.9,0.8,1.0,0.0,0.0,0.6857
100,3,0.01,0.8,0.8,1.25,0.0,0.0,0.6857
100,3,0.01,0.9,0.8,1.25,0.0,0.0,0.6714
100,3,0.01,0.8,0.8,1.5,0.0,0.0,0.6029
100,3,0.01,0.9,0.8,1.5,0.0571,0.05,0.6029
100,3,0.01,0.8,0.8,1.75,0.0571,0.05,0.5495
100,3,0.01,0.9,0.8,1.75,0.1,0.09,0.5352
100,3,0.01,0.8,0.8,2.0,0.12,0.14,0.48
100,3,0.01,0.9,0.8,2.0,0.1608,0.19,0.481
200,3,0.01,0.8,0.8,1.0,0.0,0.0,0.6581
200,3,0.01,0.9,0.8,1.0,0.0,0.0,0.6448
200,3,0.01,0.8,0.8,1.25,0.0,0.0,0.5619
200,3,0.01,0.9,0.8,1.25,0.0571,0.05,0.5762
200,3,0.01,0.8,0.8,1.5,0.0571,0.05,0.5362
200,3,0.01,0.9,0.8,1.5,0.0571,0.05,0.5362
200,3,0.01,0.8,0.8,1.75,0.1333,0.14,0.5362
200,3,0.01,0.9,0.8,1.75,0.1244,0.14,0.5076
200,3,0.01,0.8,0.8,2.0,0.12,0.14,0.48
200,3,0.01,0.9,0.8,2.0,0.1467,0.18,0.48
300,3,0.01,0.8,0.8,1.0,0.0571,0.05,0.6171
300,3,0.01,0.9,0.8,1.0,0.0571,0.05,0.6029
300,3,0.01,0.8,0.8,1.25,0.0571,0.05,0.5495
300,3,0.01,0.9,0.8,1.25,0.0571,0.05,0.5629
300,3,0.01,0.8,0.8,1.5,0.1289,0.14,0.5362
300,3,0.01,0.9,0.8,1.5,0.1289,0.14,0.5229
300,3,0.01,0.8,0.8,1.75,0.1289,0.14,0.5086
300,3,0.01,0.9,0.8,1.75,0.12,0.14,0.48
300,3,0.01,0.8,0.8,2.0,0.1723,0.22,0.4933
300,3,0.01,0.9,0.8,2.0,0.1467,0.18,0.48
100,4,0.01,0.8,0.8,1.0,0.0,0.0,0.6857
100,4,0.01,0.9,0.8,1.0,0.0,0.0,0.6857
100,4,0.01,0.8,0.8,1.25,0.0,0.0,0.6857
100,4,0.01,0.9,0.8,1.25,0.0,0.0,0.6714
100,4,0.01,0.8,0.8,1.5,0.0,0.0,0.5752
100,4,0.01,0.9,0.8,1.5,0.0571,0.05,0.6029
100,4,0.01,0.8,0.8,1.75,0.0571,0.05,0.5362
